,MM,ED,RSRER,B,MSD,MD,MTBCE,CVFMT
0,4.18125,3.0114583333333336,157899.01301335153,-0.05936340656729366,0.038917892865474736,7.361785124680041,37.28875115740741,0.832906506997262
1,4.1419999999999995,4.2128125,114108.6264808114,-0.05997000398692618,0.040405786904843095,7.3903221019874135,37.9019302983539,0.8674430306912637
2,4.131999999999999,18.413298611111113,25962.45354809393,-0.0584803538074275,0.04094314834833327,7.396702104571003,37.9019302983539,0.8674430306912637
3,4.1339999999999995,37.08424768518518,12903.333033526085,-0.05967890195306893,0.04056330744609345,7.40007928271966,37.9019302983539,0.8674430306912637
4,4.148,0.00033564814814814823,1436804398.494977,-0.06059093975601868,0.040378720990146624,7.3919207609646795,37.9019302983539,0.8674430306912637
5,4.128,7.192673611111111,66007.3648283839,-0.05988448093023193,0.04083278975848375,7.408460749177393,41.17915943287037,0.8144773507223523
6,4.0699999999999985,12.662962962962963,35981.66243680282,-0.06017060322884497,0.04367862299157077,7.409806266849149,47.150526620370364,0.7308178540261878
7,4.07,11.132002314814818,40948.091807029385,-0.06219887081683481,0.043287304771996875,7.405628899870643,65.478543595679,1.2855105612025
8,4.14,4.354583333333333,112873.75120217883,-0.04813439959900815,0.047183726102211845,7.597353710471873,49.988437499999996,1.5367121931721328
9,4.09,34.765787037037036,12443.90888513275,-0.060548564793023694,0.04262064649732696,6.25879461080449,57.05253306878307,1.4042668604168043
10,4.119999999999999,14.12542824074074,31427.104965780447,-0.055234464947401536,0.04304728042677783,6.320431748519189,56.03236834490741,1.3247702511244401
11,4.192,2.479884259259259,191738.8065823976,-0.048609673896869085,0.04383049020218361,6.465356518894643,49.41035300925926,1.3685809566617289
12,4.178,3.375300925925926,140859.5522387525,-0.05322086741732877,0.04405383842258174,6.37101195783238,45.97732523148149,1.4862623741693732
13,4.14,6.524062499999999,70325.46543462771,-0.060468251519230395,0.04075053279896051,6.2951169822940996,40.45930169753086,1.7320282909111
14,4.188000000000001,10.598148148148148,44813.41540421246,-0.06583734958331906,0.03598493105215152,6.237278613362104,37.938158670033665,1.6852703689232642
15,4.188000000000001,10.598148148148148,44813.41540421246,-0.06583734958331906,0.03598493105215152,6.237278613362104,37.938158670033665,1.6852703689232642
16,4.194000000000001,55.514340277777784,8593.971102209707,-0.06752993562274998,0.033258536524347584,6.225073015463588,37.938158670033665,1.6852703689232642
17,4.208,20.45375,23509.040810236616,-0.07520578485617163,0.03019940393084327,6.178370032707886,25.10158564814815,1.0801606837702062
18,4.359999999999999,0.910474537037037,611143.7288512631,-0.046323560022000644,0.0424071457454141,6.4654418171601735,17.587683142701525,1.3895814804954052
19,4.322,7.359699074074075,72592.91730566858,-0.0521711052450175,0.04161419128617326,6.356862479525586,19.503337673611114,1.2568836830923462
20,4.286,17.995150462962965,28833.378732883204,-0.05014821226583961,0.04273071116969884,6.406911386524381,17.54414583333334,1.370384255992849
21,4.242000000000001,8.177268518518519,60823.51484707501,-0.05576503366869964,0.03749838362235703,6.3671669862618145,19.070198539886043,1.3647376324669074
22,4.212000000000001,6.292847222222222,76956.91800160042,-0.05283689994666743,0.041060028923031275,6.432398275255653,16.33703993055555,1.5400025207426897
23,4.208000000000001,8.894039351851852,54362.04066929751,-0.05328006597363818,0.04063162472878892,6.443486034020209,16.33703993055555,1.5400025207426897
24,4.204,8.703564814814815,55571.5864417557,-0.051105714412636095,0.041460336927868775,6.523278104024729,18.01276427469136,1.546356351230217
25,4.148,7.767222222222222,58216.84651150511,-0.05596881749934209,0.04347094134816857,6.035643656039958,18.335976851851854,1.6252094475419694
26,4.159999999999999,12.189212962962962,37445.054634067325,-0.052519006749473095,0.04296770549365908,6.0573001618545295,22.968828703703707,1.3186183909673765
27,4.148,7.151701388888889,63280.04384925059,-0.04973047102575714,0.04577703401297255,6.085683019524117,22.968828703703707,1.3186183909673765
28,4.106,23.47181712962963,18612.05740178129,-0.05447881643164924,0.045861894684200925,6.011940214994328,25.007388117283952,1.2551585602740924
29,4.112,16.942916666666665,25880.082777855656,-0.05327719824528322,0.04629219247790794,6.001107887047725,25.007388117283952,1.2551585602740924
30,4.09,0.7179166666666666,597216.9783538295,-0.04312927344375417,0.05207005853696684,6.197825793791231,41.127051504629634,0.9722405101212774
31,4.026,2.3864236111111112,167619.93794510557,-0.06376314153786879,0.048481837277980444,5.733465159667349,56.4625300925926,0.7346164932691532
32,4.026,1.1425578703703703,350907.9141444896,-0.0692433934097021,0.041880699635089474,5.712974090116055,56.4625300925926,0.7346164932691532
33,3.986,4.856655092592592,79048.49143357416,-0.07753002374892294,0.040175546611770904,5.442531438164241,47.48810474537038,0.8826748740740201
34,3.98,9.56320601851852,39972.07209232911,-0.07644560972468785,0.04053682506023316,5.445623914713289,47.48810474537038,0.8826748740740201
